id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_eco,opening_name,opening_ply,start_at,end_at,game_duration_mins,base_time,increment_time,hour,rating_diff,game_type
TZJHLljE,False,1504210000000.0,1504210000000.0,13,outoftime,white,15+2,1500,1191,D10,Slav Defense: Exchange Variation,5,2017-08-31 20:06:40,2017-08-31 20:06:40,0.0,15,2,20,309,rapid
l1NXvwaE,True,1504130000000.0,1504130000000.0,16,resign,black,5+10,1322,1261,B00,Nimzowitsch Defense: Kennedy Variation,4,2017-08-30 21:53:20,2017-08-30 21:53:20,0.0,5,10,21,61,blitz
mIICvQHh,True,1504130000000.0,1504130000000.0,61,mate,white,5+10,1496,1500,C20,King's Pawn Game: Leonardis Variation,3,2017-08-30 21:53:20,2017-08-30 21:53:20,0.0,5,10,21,4,blitz
kWKvrqYL,True,1504110000000.0,1504110000000.0,61,mate,white,20+0,1439,1454,D02,Queen's Pawn Game: Zukertort Variation,3,2017-08-30 16:20:00,2017-08-30 16:20:00,0.0,20,0,16,15,classic
9tXo1AUZ,True,1504030000000.0,1504030000000.0,95,mate,white,30+3,1523,1469,C41,Philidor Defense,5,2017-08-29 18:06:40,2017-08-29 18:06:40,0.0,30,3,18,54,classic
MsoDV9wj,False,1504240000000.0,1504240000000.0,5,draw,draw,10+0,1250,1002,B27,Sicilian Defense: Mongoose Variation,4,2017-09-01 04:26:40,2017-09-01 04:26:40,0.0,10,0,4,248,rapid
qwU9rasv,True,1504230000000.0,1504230000000.0,33,resign,white,10+0,1520,1423,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10,2017-09-01 01:40:00,2017-09-01 01:40:00,0.0,10,0,1,97,rapid
RVN0N3VK,False,1503680000000.0,1503680000000.0,9,resign,black,15+30,1413,2108,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5,2017-08-25 16:53:20,2017-08-25 16:53:20,0.0,15,30,16,695,rapid
dwF3DJHO,True,1503510000000.0,1503510000000.0,66,resign,black,15+0,1439,1392,C50,Italian Game: Schilling-Kostic Gambit,6,2017-08-23 17:40:00,2017-08-23 17:40:00,0.0,15,0,17,47,rapid
afoMwnLg,True,1503440000000.0,1503440000000.0,119,mate,white,10+0,1381,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,2017-08-22 22:13:20,2017-08-22 22:13:20,0.0,10,0,22,172,rapid
HgKLWPsz,False,1503350000000.0,1503350000000.0,39,mate,white,20+60,1381,1272,A00,Van't Kruijs Opening,1,2017-08-21 21:13:20,2017-08-21 21:13:20,0.0,20,60,21,109,classic
Vf5fKWzI,False,1503350000000.0,1503350000000.0,38,resign,black,20+60,1381,1867,C02,French Defense: Advance Variation |  Paulsen Attack,9,2017-08-21 21:13:20,2017-08-21 21:13:20,0.0,20,60,21,486,classic
HRti5mKv,False,1503350000000.0,1503350000000.0,60,resign,black,5+40,1381,1936,C00,French Defense: Knight Variation,3,2017-08-21 21:13:20,2017-08-21 21:13:20,0.0,5,40,21,555,blitz
2fEjSei6,False,1503340000000.0,1503340000000.0,31,resign,black,8+0,1381,1607,C00,French Defense #2,2,2017-08-21 18:26:40,2017-08-21 18:26:40,0.0,8,0,18,226,rapid
u7i6dOaJ,False,1504090000000.0,1504100000000.0,31,mate,white,15+15,1094,1141,C50,Four Knights Game: Italian Variation,8,2017-08-30 10:46:40,2017-08-30 13:33:20,167.0,15,15,10,47,rapid
guanvMR5,False,1504090000000.0,1504090000000.0,43,resign,black,15+15,1141,1094,C57,Italian Game: Two Knights Defense |  Knight Attack,7,2017-08-30 10:46:40,2017-08-30 10:46:40,0.0,15,15,10,47,rapid
PmpkWkmm,False,1504090000000.0,1504090000000.0,52,resign,black,15+15,1094,1141,C50,Four Knights Game: Italian Variation,8,2017-08-30 10:46:40,2017-08-30 10:46:40,0.0,15,15,10,47,rapid
EwaK0IsE,False,1504010000000.0,1504010000000.0,66,mate,black,15+16,1141,1094,C50,Four Knights Game: Italian Variation,8,2017-08-29 12:33:20,2017-08-29 12:33:20,0.0,15,16,12,47,rapid
